radius (um),transmission (dB) - TE1 mode,transmission (dB) - total output power,input power (W)
1,0.5075047834563032,0.28873300864567814,0.9969459277082173
2,0.07673250115212209,0.03562427157343177,0.9999920957021665
3,0.032006107381000404,0.014642692697803772,0.999993685053825
4,0.02001098251890572,0.008427407396635929,0.9999982265428717
5,0.014164104794343326,0.005419366335378246,0.9999944699076796
6,0.008328651866260198,0.0033969302274294098,0.9999966606259391
7,0.007311617013866936,0.002824760772755509,1.0000007860744167
8,0.007403341017096879,0.002901774968754347,1.0000006372418913
