width (um),neff - mode1,TE pol fraction - mode1,neff - mode2,TE pol fraction - mode2,neff - mode3,TE pol fraction - mode3,neff - mode4,TE pol fraction - mode4,neff - mode5,TE pol fraction - mode5,neff - mode6,TE pol fraction - mode6,neff - mode7,TE pol fraction - mode7,neff - mode8,TE pol fraction - mode8
1.52,2.802350643,0.999583124,2.664620272,0.997897089,2.420919337,0.992591816,2.046713843,0.947396348,2.012723368,0.027396743,1.861696357,0.074714959,1.614011429,0.15292625,1.55582667,0.849422864
1.53,2.802941713,0.99958995,2.667083262,0.997938663,2.426879377,0.992793198,2.058230446,0.959545419,2.013510858,0.023101697,1.86418209,0.074090835,1.618954171,0.152030279,1.569641307,0.856171278
1.54,2.803493058,0.999599638,2.669380636,0.997992606,2.432436597,0.993022385,2.069028919,0.965209222,2.014111767,0.021260542,1.866295616,0.073488019,1.62332319,0.151207638,1.582910056,0.862523404
1.55,2.804060247,0.999606042,2.671741798,0.998031258,2.438140481,0.993206065,2.080134035,0.96908957,2.014785583,0.020066046,1.868696153,0.072889945,1.62814481,0.150279796,1.597273183,0.86895666
1.56,2.804592097,0.999615284,2.673955772,0.99808226,2.443486865,0.993418653,2.090558906,0.971585613,2.015329378,0.019379198,1.870748626,0.072312709,1.632421537,0.149425246,1.611034438,0.874974522
1.57,2.805141511,0.999621274,2.676240668,0.998118252,2.44899679,0.993587363,2.101305881,0.973640706,2.015952525,0.018832952,1.873068408,0.071742797,1.637122604,0.148475417,1.625832538,0.881011519
1.58,2.805649932,0.999630119,2.678355219,0.998166504,2.454095174,0.993784065,2.111257684,0.975202085,2.016465237,0.018457457,1.875062113,0.07119427,1.641305512,0.147597328,1.639766378,0.886512642
1.59,2.806181942,0.999635898,2.680565622,0.998200826,2.459416344,0.993941511,2.121637638,0.976603774,2.017055545,0.018124985,1.877306078,0.070653549,1.654790873,0.892063515,1.645890104,0.146632175
1.6,2.806668599,0.999644194,2.682587905,0.998245748,2.464284918,0.99412165,2.131141818,0.977754896,2.017545092,0.017867112,1.879242875,0.070141772,1.668732313,0.896961798,1.649975484,0.145738811
1.61,2.807182179,0.999649626,2.684719844,0.998277793,2.469409112,0.994266473,2.141133404,0.978828251,2.018109386,0.017627381,1.881415544,0.069636107,1.683781763,0.901928693,1.654444842,0.144764593
